gene;locus_tag;product
dnaA;NWMN_0001;chromosomal replication initiator protein DnaA
dnaN;NWMN_0002;DNA polymerase III beta subunit
recF;NWMN_0003;DNA replication and repair protein RecF
gyrB;NWMN_0004;DNA gyrase B subunit
gyrA;NWMN_0005;DNA gyrase A subunit
NA;NWMN_0006;conserved hypothetical protein
hutH;NWMN_0007;histidine ammonia-lyase
serS;NWMN_0008;seryl-tRNA synthetase
NA;NWMN_0009;conserved hypothetical protein
NA;NWMN_0010;conserved hypothetical protein
NA;NWMN_0011;conserved hypothetical protein
NA;NWMN_0012;conserved hypothetical protein
NA;NWMN_0013;conserved hypothetical protein
rplI;NWMN_0014;50S ribosomal protein L9
dnaB;NWMN_0015;replicative DNA helicase
purA;NWMN_0016;adenylosuccinate synthetase
vicR;NWMN_0017;response regulator protein
vicK;NWMN_0018;sensor kinase protein
NA;NWMN_0019;conserved hypothetical protein
NA;NWMN_0020;conserved hypothetical protein
NA;NWMN_0021;metallo-beta-lactamase superfamily protein
NA;NWMN_0022;conserved hypothetical protein
orfX;NWMN_0023;cassette chromosome attachment site ORF
NA;NWMN_0024;conserved hypothetical protein
NA;NWMN_0025;conserved hypothetical protein
NA;NWMN_0026;conserved hypothetical protein
NA;NWMN_0027;conserved hypothetical protein
NA;NWMN_0028;metallo-beta-lactamase superfamily protein
NA;NWMN_0029;conserved hypothetical protein
NA;NWMN_0030;conserved hypothetical protein
NA;NWMN_0031;conserved hypothetical protein
NA;NWMN_0032;conserved hypothetical protein
NA;NWMN_0033;hypothetical protein
NA;NWMN_0034;conserved hypothetical protein
NA;NWMN_0035;LysR family regulatory protein
NA;NWMN_0036;conserved hypothetical protein
NA;NWMN_0037;conserved hypothetical protein
NA;NWMN_0038;conserved hypothetical protein
NA;NWMN_0039;conserved hypothetical protein
NA;NWMN_0040;conserved hypothetical protein
NA;NWMN_0041;conserved hypothetical protein
NA;NWMN_0042;conserved hypothetical protein
NA;NWMN_0043;conserved hypothetical protein
NA;NWMN_0044;conserved hypothetical protein
NA;NWMN_0045;conserved hypothetical protein
NA;NWMN_0046;conserved hypothetical protein
NA;NWMN_0047;conserved hypothetical protein
NA;NWMN_0048;conserved hypothetical protein
NA;NWMN_0049;conserved hypothetical protein
NA;NWMN_0050;67 kDa Myosin-crossreactive streptococcal antigen homolog
NA;NWMN_0051;conserved hypothetical protein
NA;NWMN_0052;transcriptional regulator GntR family protein
NA;NWMN_0053;conserved hypothetical protein
lctP;NWMN_0054;L-lactate permease
spa;NWMN_0055;immunoglobulin G binding protein A precursor (protein A)
sarH1;NWMN_0056;staphylococcal accessory regulator A homolog
sirC;NWMN_0057;siderophore compound ABC transporter permease protein SirC
sirB;NWMN_0058;siderophore compound ABC transporter permease protein SirB
sirA;NWMN_0059;siderophore compound ABC transporter binding protein
sbnA;NWMN_0060;O-Acetyl serine sulfhydrylase
sbnB;NWMN_0061;ornithine cyclodeaminase
sbnC;NWMN_0062;siderophore biosynthesis IucC family protein
