locus tag,new locus tag,pan locus tag,pan gene symbol,type,symbol,synonym,product,replicon,strand,start,end,gene length,essential,Gene ID,gene RefSeq,MicrobesOnline,description,protein length,theoretical pI,theoretical MW,GRAVY,TIGRFAM Meta Role,TIGRFAM Main Role,TIGRFAM Sub Role,TIGRFAM function,TIGRFAM,TIGRFAM HMM score,TheSEED,PFAM Accession,PFAM,PFAM description,PFAM clan accession,PFAM clan,PFAM HMM score,interaction partners,PSORTb,DeepLocPro,LocateP,SignalP,transmembrane helices,protein GI,UniProt,protein RefSeq,protein copies per cell,operon,pubmed
NWMN_0001,NWMN_RS00005,SAUPAN000006000,dnaA,CDS,dnaA,,chromosomal replication initiation protein,chromosome,+,517,1878,1362,unknown,5332606,YP_001331036,3705530,chromosomal replication initiation protein,453,5.11626,51965.3,-0.488742,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair",chromosomal replication initiator protein DnaA,TIGR00362,594.7,"DNA Metabolism / ""DNA replication"" / ""DNA-replication"" / ""Chromosomal replication initiator protein DnaA""",PF00308,Bac_DnaA,Bacterial DnaA ATPAse domain,CL0023,P-loop_NTPase,252.4,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220213,A6QD41,YP_001331036,,no polycistronic organisation predicted,
NWMN_0002,NWMN_RS00010,SAUPAN000007000,dnaN,CDS,dnaN,,DNA polymerase III subunit beta,chromosome,+,2163,3296,1134,unknown,5331867,YP_001331037,3705531,DNA polymerase III subunit beta,377,4.40284,41913.3,-0.161538,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair","DNA polymerase III, beta subunit",TIGR00663,375.1,"DNA Metabolism / ""DNA replication"" / ""DNA-replication"" / ""DNA polymerase III beta subunit (EC 2.7.7.7)""",PF00712,DNA_pol3_beta,"DNA polymerase III beta subunit, N-terminal domain",CL0060,DNA_clamp,187.1,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220214,A0A0H3K645,YP_001331037,,no polycistronic organisation predicted,
NWMN_0003,NWMN_RS00020,SAUPAN000010000,recF,CDS,recF,,recombination protein F,chromosome,+,3919,5031,1113,unknown,5331876,YP_001331038,3705532,recombination protein F,370,6.44688,42415.1,-0.444054,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair",DNA replication and repair protein RecF,TIGR00611,474.6,"DNA Metabolism / ""DNA repair"" / ""DNA repair, bacterial RecFOR pathway"" / ""DNA recombination and repair protein RecF""",PF02463,SMC_N,RecF/RecN/SMC N terminal domain,CL0023,P-loop_NTPase,66.2,NWMN_0162; NWMN_0176; NWMN_0499; NWMN_0500; NWMN_0501; NWMN_0502; NWMN_0509; NWMN_0510; NWMN_0745; NWMN_0811; NWMN_0956; NWMN_0959; NWMN_0960; NWMN_0962; NWMN_1096; NWMN_1151; NWMN_1166; NWMN_1178; NWMN_1325; NWMN_1326; NWMN_1348; NWMN_1549; NWMN_1574; NWMN_1580; NWMN_1587; NWMN_1592; NWMN_1604; NWMN_1613; NWMN_1625; NWMN_1838; NWMN_1985; NWMN_2086; NWMN_2125; NWMN_2127; NWMN_2133; NWMN_2135; NWMN_2137; NWMN_2138; NWMN_2140; NWMN_2143; NWMN_2146; NWMN_2147; NWMN_2149; NWMN_2150; NWMN_2151; NWMN_2152; NWMN_2446; NWMN_2504,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220215,A6QD43,YP_001331038,,NWMN_0003 > NWMN_0004 > NWMN_0005 (MicrobesOnline),21166474
NWMN_0004,NWMN_RS00025,SAUPAN000011000,gyrB,CDS,gyrB,,DNA gyrase B subunit,chromosome,+,5041,6975,1935,unknown,5332339,YP_001331039,3705533,DNA gyrase B subunit,644,5.68145,72539.3,-0.489907,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair","DNA gyrase, B subunit",TIGR01059,994,"DNA Metabolism / ""DNA replication"" / ""DNA topoisomerases, Type II, ATP-dependent"" / ""DNA gyrase subunit B (EC 5.99.1.3)""; ""Virulence, Disease and Defense"" / ""Resistance to antibiotics and toxic compounds"" / ""Resistance to fluoroquinolones"" / ""DNA gyrase subunit B (EC 5.99.1.3)""",PF00204,DNA_gyraseB,DNA gyrase B,CL0329,S5,211.5,NWMN_0005; NWMN_0509; NWMN_1178; NWMN_1592,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220216,A0A0H3KD61,YP_001331039,,NWMN_0003 > NWMN_0004 > NWMN_0005 (MicrobesOnline),21166474
NWMN_0005,NWMN_RS00030,SAUPAN000012000,gyrA,CDS,gyrA,,DNA gyrase A subunit,chromosome,+,6994,9675,2682,unknown,5331984,YP_001331040,3705534,DNA gyrase A subunit,893,4.78271,100093,-0.447704,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair","DNA gyrase, A subunit",TIGR01063,1210.8,"DNA Metabolism / ""DNA replication"" / ""DNA topoisomerases, Type II, ATP-dependent"" / ""DNA gyrase subunit A (EC 5.99.1.3)""; ""Virulence, Disease and Defense"" / ""Resistance to antibiotics and toxic compounds"" / ""Resistance to fluoroquinolones"" / ""DNA gyrase subunit A (EC 5.99.1.3)""",PF00521,DNA_topoisoIV,"DNA gyrase/topoisomerase IV, subunit A",no clan defined,no clan defined,559.4,NWMN_1325,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220217,A0A0H3K5G6,YP_001331040,,NWMN_0003 > NWMN_0004 > NWMN_0005 (MicrobesOnline),21166474
NWMN_0006,NWMN_RS00035,SAUPAN000013000,nnrD,CDS,NWMN_0006,,hypothetical protein,chromosome,-,9762,10592,831,unknown,5331983,YP_001331041,3705535,hypothetical protein,276,6.51215,30171.7,-0.0384058,,Unknown function,General,YjeF family C-terminal domain,TIGR00196,185.4,,PF01256,Carb_kinase,NAD(P)H-hydrate dehydratase,CL0118,Ribokinase,199.5,,no significant prediction,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220218,A0A0H3K5Z7,YP_001331041,,no polycistronic organisation predicted,
NWMN_0007,NWMN_RS00040,SAUPAN000014000,hutH,CDS,hutH,,histidine ammonia-lyase,chromosome,+,10900,12414,1515,unknown,5329920,YP_001331042,3705536,histidine ammonia-lyase,504,5.14671,56075.2,-0.185714,Metabolism,Energy metabolism,Amino acids and amines,histidine ammonia-lyase,TIGR01225,665,"Amino Acids and Derivatives / ""Histidine Metabolism"" / ""Histidine Degradation"" / ""Histidine ammonia-lyase (EC 4.3.1.3)""",PF00221,Lyase_aromatic,Aromatic amino acid lyase,no clan defined,no clan defined,623.8,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220219,A6QD47,YP_001331042,,no polycistronic organisation predicted,
NWMN_0008,NWMN_RS00045,SAUPAN000017000,serS,CDS,serS,,seryl-tRNA synthetase,chromosome,+,12793,14079,1287,unknown,5332025,YP_001331043,3705537,seryl-tRNA synthetase,428,4.74665,48639.7,-0.586682,Genetic information processing,Protein synthesis,tRNA aminoacylation,serine--tRNA ligase,TIGR00414,571.6,"Amino Acids and Derivatives / ""Alanine, serine, and glycine"" / ""Glycine and Serine Utilization"" / ""Seryl-tRNA synthetase (EC 6.1.1.11)""; ""Protein Metabolism"" / ""Protein biosynthesis"" / ""tRNA aminoacylation, Ser"" / ""Seryl-tRNA synthetase (EC 6.1.1.11)""",PF00587,tRNA-synt_2b,"tRNA synthetase class II core domain (G, H, P, S and T)",CL0040,tRNA_synt_II,140.4,NWMN_0509; NWMN_0510; NWMN_0741; NWMN_0959; NWMN_0960; NWMN_0961; NWMN_0962; NWMN_1166; NWMN_1326; NWMN_1483; NWMN_1569; NWMN_1592; NWMN_1600; NWMN_2086; NWMN_2149; NWMN_2534,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220220,A6QD48,YP_001331043,,no polycistronic organisation predicted,21166474
NWMN_0009,NWMN_RS00050,SAUPAN000018000,-,CDS,NWMN_0009,,hypothetical protein,chromosome,+,14729,15424,696,unknown,5332473,YP_001331044,3705538,hypothetical protein,231,6.49023,25163,1.07186,Metabolism,Transport and binding proteins,"Amino acids, peptides and amines",azaleucine resistance protein AzlC,TIGR00346,85.5,,PF03591,AzlC,AzlC protein,no clan defined,no clan defined,130,,Cytoplasmic Membrane,Cytoplasmic Membrane,Multi-transmembrane,no predicted signal peptide,7,151220221,A0A0H3K9T1,YP_001331044,,NWMN_0009 > NWMN_0010 (MicrobesOnline),
NWMN_0010,NWMN_RS00055,SAUPAN000019000,-,CDS,NWMN_0010,,hypothetical protein,chromosome,+,15421,15750,330,unknown,5329921,YP_001331045,3705539,hypothetical protein,109,9.29961,12233.1,1.47523,Genetic information processing,Protein fate,Protein and peptide secretion and trafficking,type II secretion system protein F,TIGR02120,9.3,,PF05437,AzlD,Branched-chain amino acid transport protein (AzlD),no clan defined,no clan defined,86.3,,Cytoplasmic Membrane,Cytoplasmic Membrane,Multi-transmembrane,no predicted signal peptide,4,151220222,A0A0H3K650,YP_001331045,,NWMN_0009 > NWMN_0010 (MicrobesOnline),
