"gene","locus_tag","product","combined"
"dnaA","NWMN_0001","chromosomal replication initiator protein DnaA","dnaA: chromosomal replication initiator protein DnaA"
"dnaN","NWMN_0002","DNA polymerase III beta subunit","dnaN: DNA polymerase III beta subunit"
"recF","NWMN_0003","DNA replication and repair protein RecF","recF: DNA replication and repair protein RecF"
"gyrB","NWMN_0004","DNA gyrase B subunit","gyrB: DNA gyrase B subunit"
"gyrA","NWMN_0005","DNA gyrase A subunit","gyrA: DNA gyrase A subunit"
"p:nnrD","NWMN_0006","conserved hypothetical protein","p:nnrD: conserved hypothetical protein"
"hutH","NWMN_0007","histidine ammonia-lyase","hutH: histidine ammonia-lyase"
"serS","NWMN_0008","seryl-tRNA synthetase","serS: seryl-tRNA synthetase"
"0009","NWMN_0009","conserved hypothetical protein","0009: conserved hypothetical protein"
"0010","NWMN_0010","conserved hypothetical protein","0010: conserved hypothetical protein"
"p:metX","NWMN_0011","conserved hypothetical protein","p:metX: conserved hypothetical protein"
"0012","NWMN_0012","conserved hypothetical protein","0012: conserved hypothetical protein"
"p:gdpP","NWMN_0013","conserved hypothetical protein","p:gdpP: conserved hypothetical protein"
"rplI","NWMN_0014","50S ribosomal protein L9","rplI: 50S ribosomal protein L9"
"dnaB.1","NWMN_0015","replicative DNA helicase","dnaB.1: replicative DNA helicase"
"purA","NWMN_0016","adenylosuccinate synthetase","purA: adenylosuccinate synthetase"
"vicR","NWMN_0017","response regulator protein","vicR: response regulator protein"
"vicK","NWMN_0018","sensor kinase protein","vicK: sensor kinase protein"
"p:walH","NWMN_0019","conserved hypothetical protein","p:walH: conserved hypothetical protein"
"p:walI","NWMN_0020","conserved hypothetical protein","p:walI: conserved hypothetical protein"
"p:walJ","NWMN_0021","metallo-beta-lactamase superfamily protein","p:walJ: metallo-beta-lactamase superfamily protein"
"p:adsA","NWMN_0022","conserved hypothetical protein","p:adsA: conserved hypothetical protein"
"orfX","NWMN_0023","cassette chromosome attachment site ORF","orfX: cassette chromosome attachment site ORF"
"0024","NWMN_0024","conserved hypothetical protein","0024: conserved hypothetical protein"
"0025","NWMN_0025","conserved hypothetical protein","0025: conserved hypothetical protein"
"p:tauE","NWMN_0026","conserved hypothetical protein","p:tauE: conserved hypothetical protein"
"p:cstA","NWMN_0027","conserved hypothetical protein","p:cstA: conserved hypothetical protein"
"p:cstB","NWMN_0028","metallo-beta-lactamase superfamily protein","p:cstB: metallo-beta-lactamase superfamily protein"
"p:sqr","NWMN_0029","conserved hypothetical protein","p:sqr: conserved hypothetical protein"
"0030","NWMN_0030","conserved hypothetical protein","0030: conserved hypothetical protein"
"0031","NWMN_0031","conserved hypothetical protein","0031: conserved hypothetical protein"
"0032","NWMN_0032","conserved hypothetical protein","0032: conserved hypothetical protein"
"0033","NWMN_0033","hypothetical protein","0033: hypothetical protein"
"0034","NWMN_0034","conserved hypothetical protein","0034: conserved hypothetical protein"
"0035","NWMN_0035","LysR family regulatory protein","0035: LysR family regulatory protein"
"0036","NWMN_0036","conserved hypothetical protein","0036: conserved hypothetical protein"
"0037","NWMN_0037","conserved hypothetical protein","0037: conserved hypothetical protein"
"0038","NWMN_0038","conserved hypothetical protein","0038: conserved hypothetical protein"
"0039","NWMN_0039","conserved hypothetical protein","0039: conserved hypothetical protein"
"0040","NWMN_0040","conserved hypothetical protein","0040: conserved hypothetical protein"
"p:plc","NWMN_0041","conserved hypothetical protein","p:plc: conserved hypothetical protein"
"p:csa1A","NWMN_0042","conserved hypothetical protein","p:csa1A: conserved hypothetical protein"
"0043","NWMN_0043","conserved hypothetical protein","0043: conserved hypothetical protein"
"0044","NWMN_0044","conserved hypothetical protein","0044: conserved hypothetical protein"
"0045","NWMN_0045","conserved hypothetical protein","0045: conserved hypothetical protein"
"0046","NWMN_0046","conserved hypothetical protein","0046: conserved hypothetical protein"
"0047","NWMN_0047","conserved hypothetical protein","0047: conserved hypothetical protein"
"p:norC","NWMN_0048","conserved hypothetical protein","p:norC: conserved hypothetical protein"
"p:nptA","NWMN_0049","conserved hypothetical protein","p:nptA: conserved hypothetical protein"
"0050","NWMN_0050","67 kDa Myosin-crossreactive streptococcal antigen homolog","0050: 67 kDa Myosin-crossreactive streptococcal antigen homolog"
"0051","NWMN_0051","conserved hypothetical protein","0051: conserved hypothetical protein"
"p:norG","NWMN_0052","transcriptional regulator GntR family protein","p:norG: transcriptional regulator GntR family protein"
"0053","NWMN_0053","conserved hypothetical protein","0053: conserved hypothetical protein"
"lctP","NWMN_0054","L-lactate permease","lctP: L-lactate permease"
"spa","NWMN_0055","immunoglobulin G binding protein A precursor (protein A)","spa: immunoglobulin G binding protein A precursor (protein A)"
