# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "../inputs/genomes/RATT/genomes/Newman/genomic.gff3" "-o" "/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/featureCounts/R1_NM-III_t12_S2_Newman_counts.txt" "-p" "--countReadPairs" "-s" "2" "-O" "--primary" "-t" "CDS" "-g" "locus_tag" "-T" "8" "/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/bowtie2/R1_NM-III_t12_S2.bam" 
Geneid	Chr	Start	End	Strand	Length	/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/bowtie2/R1_NM-III_t12_S2.bam
NWMN_0001	AP009351.1	517	1878	+	1362	113
NWMN_0002	AP009351.1	2163	3296	+	1134	107
NWMN_0003	AP009351.1	3919	5031	+	1113	320
NWMN_0004	AP009351.1	5041	6975	+	1935	558
NWMN_0005	AP009351.1	6994	9675	+	2682	585
NWMN_0006	AP009351.1	9762	10592	-	831	135
NWMN_0007	AP009351.1	10900	12414	+	1515	107
NWMN_0008	AP009351.1	12793	14079	+	1287	156
NWMN_0009	AP009351.1	14729	15424	+	696	1
NWMN_0010	AP009351.1	15421	15750	+	330	3
NWMN_0011	AP009351.1	16113	17081	+	969	5
NWMN_0012	AP009351.1	17324	18310	+	987	58
NWMN_0013	AP009351.1	18325	20292	+	1968	357
NWMN_0014	AP009351.1	20289	20735	+	447	200
NWMN_0015	AP009351.1	20767	22167	+	1401	355
NWMN_0016	AP009351.1	22445	23728	+	1284	81
NWMN_0017	AP009351.1	24926	25633	+	708	231
NWMN_0018	AP009351.1	25646	27472	+	1827	617
NWMN_0019	AP009351.1	27438	28799	+	1362	533
NWMN_0020	AP009351.1	28800	29588	+	789	271
NWMN_0021	AP009351.1	29978	30778	+	801	34
NWMN_0022	AP009351.1	31006	33324	+	2319	31
NWMN_0023	AP009351.1	33692	34171	+	480	34
NWMN_0024	AP009351.1	34713	36458	+	1746	12
NWMN_0025	AP009351.1	36552	37004	-	453	6
NWMN_0026	AP009351.1	37219	37974	-	756	1
NWMN_0027	AP009351.1	38371	39438	+	1068	5
NWMN_0028	AP009351.1	39469	40803	+	1335	8
NWMN_0029	AP009351.1	40813	42015	+	1203	185
NWMN_0030	AP009351.1	42682	43668	-	987	104
NWMN_0031	AP009351.1	44229	44525	+	297	3
NWMN_0032	AP009351.1	44597	45817	-	1221	0
NWMN_0033	AP009351.1	45582	45884	+	303	0
NWMN_0034	AP009351.1	45810	46295	-	486	0
NWMN_0035	AP009351.1	46473	47333	+	861	3
NWMN_0036	AP009351.1	47688	48221	-	534	0
NWMN_0037	AP009351.1	48312	49055	+	744	2
