# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "../inputs/genomes/RATT/genomes/Newman/genomic.gff3" "-o" "/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/featureCounts/R3_NM-I_t12_S9_Newman_counts.txt" "-p" "--countReadPairs" "-s" "2" "-O" "--primary" "-t" "CDS" "-g" "locus_tag" "-T" "8" "/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/bowtie2/R3_NM-I_t12_S9.bam" 
Geneid	Chr	Start	End	Strand	Length	/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/bowtie2/R3_NM-I_t12_S9.bam
NWMN_0001	AP009351.1	517	1878	+	1362	233
NWMN_0002	AP009351.1	2163	3296	+	1134	234
NWMN_0003	AP009351.1	3919	5031	+	1113	690
NWMN_0004	AP009351.1	5041	6975	+	1935	1392
NWMN_0005	AP009351.1	6994	9675	+	2682	1160
NWMN_0006	AP009351.1	9762	10592	-	831	367
NWMN_0007	AP009351.1	10900	12414	+	1515	164
NWMN_0008	AP009351.1	12793	14079	+	1287	335
NWMN_0009	AP009351.1	14729	15424	+	696	23
NWMN_0010	AP009351.1	15421	15750	+	330	11
NWMN_0011	AP009351.1	16113	17081	+	969	10
NWMN_0012	AP009351.1	17324	18310	+	987	128
NWMN_0013	AP009351.1	18325	20292	+	1968	543
NWMN_0014	AP009351.1	20289	20735	+	447	208
NWMN_0015	AP009351.1	20767	22167	+	1401	332
NWMN_0016	AP009351.1	22445	23728	+	1284	116
NWMN_0017	AP009351.1	24926	25633	+	708	480
NWMN_0018	AP009351.1	25646	27472	+	1827	913
NWMN_0019	AP009351.1	27438	28799	+	1362	741
NWMN_0020	AP009351.1	28800	29588	+	789	314
NWMN_0021	AP009351.1	29978	30778	+	801	52
NWMN_0022	AP009351.1	31006	33324	+	2319	40
NWMN_0023	AP009351.1	33692	34171	+	480	44
NWMN_0024	AP009351.1	34713	36458	+	1746	28
NWMN_0025	AP009351.1	36552	37004	-	453	13
NWMN_0026	AP009351.1	37219	37974	-	756	13
NWMN_0027	AP009351.1	38371	39438	+	1068	10
NWMN_0028	AP009351.1	39469	40803	+	1335	26
NWMN_0029	AP009351.1	40813	42015	+	1203	194
NWMN_0030	AP009351.1	42682	43668	-	987	167
NWMN_0031	AP009351.1	44229	44525	+	297	11
NWMN_0032	AP009351.1	44597	45817	-	1221	0
NWMN_0033	AP009351.1	45582	45884	+	303	3
NWMN_0034	AP009351.1	45810	46295	-	486	2
NWMN_0035	AP009351.1	46473	47333	+	861	7
NWMN_0036	AP009351.1	47688	48221	-	534	1
NWMN_0037	AP009351.1	48312	49055	+	744	5
NWMN_0038	AP009351.1	49489	50091	+	603	6
NWMN_0039	AP009351.1	50358	53510	+	3153	44
NWMN_0040	AP009351.1	53567	54049	+	483	24
NWMN_0041	AP009351.1	54254	55240	+	987	13
NWMN_0042	AP009351.1	55461	56231	+	771	2
NWMN_0043	AP009351.1	56283	57053	+	771	2
NWMN_0044	AP009351.1	57117	57887	+	771	2
NWMN_0045	AP009351.1	57954	58721	+	768	6
NWMN_0046	AP009351.1	58815	61052	+	2238	71
NWMN_0047	AP009351.1	61194	62381	+	1188	198
NWMN_0048	AP009351.1	62383	63771	+	1389	277
NWMN_0049	AP009351.1	64264	65931	-	1668	115
NWMN_0050	AP009351.1	66251	68026	-	1776	521
NWMN_0051	AP009351.1	68200	69072	-	873	2
NWMN_0052	AP009351.1	69185	70582	+	1398	4
NWMN_0053	AP009351.1	70772	71245	+	474	17
NWMN_0054	AP009351.1	71507	73099	+	1593	187
NWMN_0055	AP009351.1	73428	74990	-	1563	1413
NWMN_0056	AP009351.1	75375	76151	-	777	44
NWMN_0057	AP009351.1	76496	77494	-	999	60
NWMN_0058	AP009351.1	77491	78486	-	996	4
NWMN_0059	AP009351.1	78502	79494	-	993	1
NWMN_0060	AP009351.1	79725	80705	+	981	4
NWMN_0061	AP009351.1	80702	81712	+	1011	2
NWMN_0062	AP009351.1	81733	83487	+	1755	4
NWMN_0063	AP009351.1	83480	84736	+	1257	2
NWMN_0064	AP009351.1	84726	86462	+	1737	10
NWMN_0065	AP009351.1	86371	88221	+	1851	9
NWMN_0066	AP009351.1	88193	88972	+	780	12
NWMN_0067	AP009351.1	88972	90174	+	1203	18
NWMN_0068	AP009351.1	90178	90942	+	765	15
NWMN_0069	AP009351.1	91138	91545	+	408	10
NWMN_0070	AP009351.1	91595	92221	+	627	7
NWMN_0071	AP009351.1	92433	93209	+	777	6966
NWMN_0072	AP009351.1	93566	94525	+	960	24
NWMN_0073	AP009351.1	94488	95180	+	693	8
NWMN_0074	AP009351.1	95390	96556	+	1167	3
NWMN_0075	AP009351.1	96537	97775	+	1239	1
NWMN_0076	AP009351.1	97765	99195	+	1431	12
NWMN_0077	AP009351.1	99463	100062	+	600	50
NWMN_0078	AP009351.1	100430	101155	+	726	497
NWMN_0079	AP009351.1	101347	102102	-	756	34
NWMN_0080	AP009351.1	102338	103045	+	708	45
NWMN_0081	AP009351.1	103052	104404	+	1353	43
NWMN_0082	AP009351.1	104485	105147	+	663	222
NWMN_0083	AP009351.1	105175	106353	+	1179	868
NWMN_0084	AP009351.1	106484	107299	-	816	1
NWMN_0085	AP009351.1	107296	108096	-	801	0
NWMN_0086	AP009351.1	108098	108871	-	774	1
NWMN_0087	AP009351.1	110270	111814	+	1545	8
NWMN_0088	AP009351.1	111859	113400	+	1542	38
NWMN_0089	AP009351.1	113484	113687	+	204	0
NWMN_0090	AP009351.1	114000	114545	+	546	1
NWMN_0091	AP009351.1	114530	114820	+	291	2
NWMN_0092	AP009351.1	114976	115191	+	216	0
NWMN_0093	AP009351.1	115844	116065	+	222	2
NWMN_0094	AP009351.1	116515	119124	+	2610	105
NWMN_0095	AP009351.1	119469	120137	+	669	34
NWMN_0096	AP009351.1	120144	120839	+	696	50
NWMN_0097	AP009351.1	120842	121606	+	765	68
NWMN_0098	AP009351.1	121614	123449	+	1836	156
NWMN_0099	AP009351.1	123439	124467	+	1029	111
NWMN_0100	AP009351.1	124480	125589	+	1110	123
NWMN_0101	AP009351.1	125593	126717	+	1125	102
NWMN_0102	AP009351.1	126720	127346	+	627	43
NWMN_0103	AP009351.1	127351	128460	+	1110	62
NWMN_0104	AP009351.1	128474	129640	+	1167	30
NWMN_0105	AP009351.1	129654	130838	+	1185	13
NWMN_0106	AP009351.1	130839	132044	+	1206	85
NWMN_0107	AP009351.1	132055	132612	+	558	40
NWMN_0108	AP009351.1	132612	133499	+	888	75
NWMN_0109	AP009351.1	133553	134815	+	1263	100
NWMN_0110	AP009351.1	134862	136037	+	1176	107
NWMN_0111	AP009351.1	136102	136428	-	327	23
NWMN_0112	AP009351.1	136435	136818	-	384	25
NWMN_0113	AP009351.1	137245	138732	+	1488	1056
NWMN_0114	AP009351.1	139273	140337	+	1065	58
NWMN_0115	AP009351.1	140781	141293	+	513	32
NWMN_0116	AP009351.1	141635	142375	+	741	13
NWMN_0117	AP009351.1	142389	143363	+	975	8
NWMN_0118	AP009351.1	143360	144121	+	762	6
NWMN_0119	AP009351.1	144134	145165	+	1032	12
NWMN_0120	AP009351.1	145382	145741	+	360	325
NWMN_0121	AP009351.1	145914	146939	+	1026	23
NWMN_0122	AP009351.1	147325	148575	+	1251	71
NWMN_0123	AP009351.1	149028	156197	+	7170	1553
NWMN_0124	AP009351.1	156210	156854	+	645	259
NWMN_0125	AP009351.1	157182	157676	-	495	260
